"","REG_ID","LIFE_EXP","BB_ACC","AIR_POL","VOTERS_SH","ROOMS_PC","SUBJ_SOC_SUPP","STD_MORT","EMP_RA","EDU38_SH","HOMIC_RA","UNEM_RA","INCOME_DISP","SUBJ_LIFE_SAT","SUBJ_PERC_CORR","ISC11","region","EARLY_LEAVERS_RATE_Y18T24","NEAC_SHARE_EA_Y25T64","NEAC_SHARE_EA_Y25T34"
"93","US22",75.7,70.3,4.9,66.3,2.4,90.3,10.3,65.5,87.7,10.8,6.4,35275,7.4,69.7,"T","US",11.521,NA,NA
"94","US22",75.7,70.3,4.9,66.3,2.4,90.3,10.3,65.5,87.7,10.8,6.4,35275,7.4,69.7,"T","US",0.809,NA,NA
"95","US23",79.2,79.2,5.4,68.6,3,91,9.3,74.9,94.4,1.8,5.8,34805,6.8,81.5,"T","US",5.659,NA,NA
"96","US23",79.2,79.2,5.4,68.6,3,91,9.3,74.9,94.4,1.8,5.8,34805,6.8,81.5,"T","US",1.046,NA,NA
"97","US24",78.8,83.4,11.2,65.1,2.6,95.6,8.3,72.3,91.5,6.4,5.8,44290,7.4,70.1,"T","US",6.408,NA,NA
"98","US24",78.8,83.4,11.2,65.1,2.6,95.6,8.3,72.3,91.5,6.4,5.8,44290,7.4,70.1,"T","US",0.414,NA,NA
"99","US25",80.5,85.3,6.2,70.8,2.5,95.1,7.8,73,92.4,2,5.8,46078,7,71,"T","US",3.976,NA,NA
"100","US25",80.5,85.3,6.2,70.8,2.5,95.1,7.8,73,92.4,2,5.8,46078,7,71,"T","US",0.313,NA,NA
"101","US26",78.2,76.3,7.8,66.8,2.7,97.2,9.1,67.2,92,6.4,7.2,32770,6.9,73.9,"T","US",6.47,NA,NA
"102","US26",78.2,76.3,7.8,66.8,2.7,97.2,9.1,67.2,92,6.4,7.2,32770,6.9,73.9,"T","US",0.359,NA,NA
"103","US27",81.1,82.6,9.8,73.2,2.7,93.5,7.7,79.1,92.6,2.1,4,38991,7.4,62.5,"T","US",4.368,NA,NA
"104","US27",81.1,82.6,9.8,73.2,2.7,93.5,7.7,79.1,92.6,2.1,4,38991,7.4,62.5,"T","US",0.458,NA,NA
"105","US28",75,62.3,5.9,74.5,2.5,95.9,11,58,87.9,6.5,7.6,29482,7.3,80.1,"T","US",9.155,NA,NA
"106","US28",75,62.3,5.9,74.5,2.5,95.9,11,58,87.9,6.5,7.6,29482,7.3,80.1,"T","US",0.616,NA,NA
"107","US29",77.5,75.6,8,63.9,2.7,86.3,9.3,71.9,91.8,6.1,6.4,34492,7.2,77.6,"T","US",6.363,NA,NA
"108","US29",77.5,75.6,8,63.9,2.7,86.3,9.3,71.9,91.8,6.1,6.4,34492,7.2,77.6,"T","US",0.426,NA,NA
"109","US30",78.5,77.6,4.4,65.7,2.8,96.3,10,75.2,92.4,2.2,4.6,33175,6.6,64.3,"T","US",6.671,NA,NA
"110","US30",78.5,77.6,4.4,65.7,2.8,96.3,10,75.2,92.4,2.2,4.6,33175,6.6,64.3,"T","US",1.378,NA,NA
"111","US31",79.8,78.8,8.6,61.6,2.7,86.7,8.3,80.8,90.9,3,3.2,39967,7.8,60.1,"T","US",4.309,NA,NA
"112","US31",79.8,78.8,8.6,61.6,2.7,86.7,8.3,80.8,90.9,3,3.2,39967,7.8,60.1,"T","US",0.74,NA,NA
"113","US32",78.1,79.4,5,57.9,2.3,92,8.8,67.7,86.1,5.8,7.7,33374,6.8,68.4,"T","US",10.244,NA,NA
"114","US32",78.1,79.4,5,57.9,2.3,92,8.8,67.7,86.1,5.8,7.7,33374,6.8,68.4,"T","US",0.841,NA,NA
"115","US33",80.3,85.7,5.6,69.4,2.7,97.9,9.1,78.5,93.6,1.7,4.2,43626,6.9,72.1,"T","US",4.321,NA,NA
"116","US33",80.3,85.7,5.6,69.4,2.7,97.9,9.1,78.5,93.6,1.7,4.2,43626,6.9,72.1,"T","US",0.905,NA,NA
"117","US34",80.3,84.5,10.3,61.9,2.4,88.7,7.9,70.8,91.1,4.5,6.7,45373,7.1,79.1,"T","US",5.327,NA,NA
"118","US34",80.3,84.5,10.3,61.9,2.4,88.7,7.9,70.8,91.1,4.5,6.7,45373,7.1,79.1,"T","US",0.341,NA,NA
"119","US35",78.4,68.1,4.9,61.6,2.4,92.4,8.3,63.2,87.2,6,7,31031,7.1,70.1,"T","US",10.313,NA,NA
"120","US35",78.4,68.1,4.9,61.6,2.4,92.4,8.3,63.2,87.2,6,7,31031,7.1,70.1,"T","US",0.985,NA,NA
"121","US36",80.5,80.6,10.5,58.7,2.2,92.7,7.6,67,89.5,3.3,6.4,43527,7.1,70.9,"T","US",6.398,NA,NA
"122","US36",80.5,80.6,10.5,58.7,2.2,92.7,7.6,67,89.5,3.3,6.4,43527,7.1,70.9,"T","US",0.257,NA,NA
"123","US37",77.8,75.2,7,68.9,2.6,91,9,66.2,89.2,4.8,6.2,32729,7.4,70,"T","US",6.499,NA,NA
"124","US37",77.8,75.2,7,68.9,2.6,91,9,66.2,89.2,4.8,6.2,32729,7.4,70,"T","US",0.364,NA,NA
"125","US38",79.5,79.4,7.1,63.9,2.8,87.7,9.4,83.1,93.8,2.2,2.9,43906,7.9,63.2,"T","US",4.833,NA,NA
"126","US38",79.5,79.4,7.1,63.9,2.8,87.7,9.4,83.1,93.8,2.2,2.9,43906,7.9,63.2,"T","US",1.219,NA,NA
"127","US39",77.8,77.1,9.9,63.1,2.7,96.4,9.4,70.8,91.8,3.9,5.6,34483,6.8,71.1,"T","US",6.812,NA,NA
"128","US39",77.8,77.1,9.9,63.1,2.7,96.4,9.4,70.8,91.8,3.9,5.6,34483,6.8,71.1,"T","US",0.405,NA,NA
"129","US40",75.9,71.1,6.9,52.4,2.5,91.4,10.4,67.2,88.4,5.1,4.5,35688,7,76.5,"T","US",8.656,NA,NA
"130","US40",75.9,71.1,6.9,52.4,2.5,91.4,10.4,67.2,88.4,5.1,4.5,35688,7,76.5,"T","US",0.621,NA,NA
"131","US41",79.5,82.4,3.4,67.6,2.4,90.2,8.4,68.6,89.8,2,7.1,33153,7,65.7,"T","US",7.696,NA,NA
"132","US41",79.5,82.4,3.4,67.6,2.4,90.2,8.4,68.6,89.8,2,7.1,33153,7,65.7,"T","US",0.642,NA,NA
"133","US42",78.5,78.9,10.3,61.6,2.7,93.6,8.8,71.4,92.1,4.6,5.7,38699,7,71.2,"T","US",5.757,NA,NA
"134","US42",78.5,78.9,10.3,61.6,2.7,93.6,8.8,71.4,92.1,4.6,5.7,38699,7,71.2,"T","US",0.298,NA,NA
"135","US44",79.9,82.9,5.7,62.5,2.5,96.6,9.5,71.5,89.9,2.9,7.8,39553,7.5,59.6,"T","US",7.339,NA,NA
"136","US44",79.9,82.9,5.7,62.5,2.5,96.6,9.5,71.5,89.9,2.9,7.8,39553,7.5,59.6,"T","US",0.987,NA,NA
"137","US45",77,71.7,5.7,64.7,2.7,84.9,9.6,65.1,89,6.2,6.4,30733,7.7,77.8,"T","US",7.778,NA,NA
"138","US45",77,71.7,5.7,64.7,2.7,84.9,9.6,65.1,89,6.2,6.4,30733,7.7,77.8,"T","US",0.436,NA,NA
"139","US46",79.5,76,7.4,61,2.7,96.5,8.4,79.6,91.3,2.4,3.5,39778,7.1,70.1,"T","US",7.289,NA,NA
"140","US46",79.5,76,7.4,61,2.7,96.5,8.4,79.6,91.3,2.4,3.5,39778,7.1,70.1,"T","US",1.487,NA,NA
"141","US47",76.3,72.2,7.7,55.7,2.6,93.8,10.1,65.2,90.4,5,6.6,34500,7.4,76.2,"T","US",6.082,NA,NA
"142","US47",76.3,72.2,7.7,55.7,2.6,93.8,10.1,65.2,90.4,5,6.6,34500,7.4,76.2,"T","US",0.434,NA,NA
"143","US48",78.5,74.6,6.2,53.8,2.2,89,8.7,69.1,85.2,4.3,5,37326,7.3,70.3,"T","US",8.232,NA,NA
"144","US48",78.5,74.6,6.2,53.8,2.2,89,8.7,69.1,85.2,4.3,5,37326,7.3,70.3,"T","US",0.221,NA,NA
"145","US49",80.2,83.8,3.6,57,2.2,94.3,8.2,72.8,91,1.7,3.9,30950,7.1,65.9,"T","US",7.551,NA,NA
"146","US49",80.2,83.8,3.6,57,2.2,94.3,8.2,72.8,91,1.7,3.9,30950,7.1,65.9,"T","US",0.704,NA,NA
"147","US50",80.5,80.9,6.7,63.3,3.1,95.4,9.4,79,92.1,1.6,4,38685,8,69,"T","US",2.157,NA,NA
"148","US50",80.5,80.9,6.7,63.3,3.1,95.4,9.4,79,92.1,1.6,4,38685,8,69,"T","US",0.751,NA,NA
"149","US51",79,80.6,9.5,66.9,2.6,91.1,8.4,72.1,91.5,3.8,5.2,40462,7.4,59.2,"T","US",4.565,NA,NA
"150","US51",79,80.6,9.5,66.9,2.6,91.1,8.4,72.1,91.5,3.8,5.2,40462,7.4,59.2,"T","US",0.421,NA,NA
"151","US53",79.9,83,4.1,65.6,2.4,94.2,8,68.8,91,2.3,6.3,40619,7.2,66.1,"T","US",8.035,NA,NA
"152","US53",79.9,83,4.1,65.6,2.4,94.2,8,68.8,91,2.3,6.3,40619,7.2,66.1,"T","US",0.523,NA,NA
"153","US54",75.4,71.8,8.5,47.8,2.8,91.7,10.5,61.4,90.8,3.3,6.5,30461,6.8,86.1,"T","US",7.671,NA,NA
"154","US54",75.4,71.8,8.5,47.8,2.8,91.7,10.5,61.4,90.8,3.3,6.5,30461,6.8,86.1,"T","US",0.851,NA,NA
"155","US55",80,79,9.1,73.6,2.7,92.6,8.4,76.7,92,2.8,5.6,36273,7.2,65.2,"T","US",4.945,NA,NA
"156","US55",80,79,9.1,73.6,2.7,92.6,8.4,76.7,92,2.8,5.6,36273,7.2,65.2,"T","US",0.473,NA,NA
"157","US56",78.3,80.5,5.4,58.9,2.7,98.2,9.6,76.5,93.1,2.9,4.5,43516,7.8,68.5,"T","US",4.844,NA,NA
"158","US56",78.3,80.5,5.4,58.9,2.7,98.2,9.6,76.5,93.1,2.9,4.5,43516,7.8,68.5,"T","US",1.336,NA,NA
