"","id","label"
"102","CL012","Tamarugal"
"103","CL02","Antofagasta"
"104","CL021","Antofagasta"
"105","CL022","El Loa"
"106","CL023","Tocopilla"
"107","CL03","Atacama"
"108","CL031","Copiapó"
"109","CL032","Chañaral"
"110","CL033","Huasco"
"111","CL04","Coquimbo"
"112","CL041","Elqui"
"113","CL042","Choapa"
"114","CL043","Limarí"
"115","CL05","Valparaíso"
"116","CL051","Valparaíso"
"117","CL052","Isla de Pascua"
"118","CL053","Los Andes"
"119","CL054","Petorca"
"120","CL055","Quillota"
"121","CL056","San Antonio"
"122","CL057","San Felipe de Aconcagua"
"123","CL058","Marga Marga"
"124","CL06","O'Higgins"
"125","CL061","Cachapoal"
"126","CL062","Cardenal Caro"
"127","CL063","Colchagua"
"128","CL07","Maule"
"129","CL071","Talca"
"130","CL072","Cauquenes"
"131","CL073","Curicó"
"132","CL074","Linares"
"133","CL08","Biobío (Región)"
"134","CL081","Concepción"
"135","CL082","Arauco"
"136","CL083","Biobío (Provincia)"
"137","CL09","Araucanía"
"138","CL091","Cautín"
"139","CL092","Malleco"
"140","CL10","Los Lagos"
"141","CL101","Llanquihue"
"142","CL102","Chiloé"
"143","CL103","Osorno"
"144","CL104","Palena"
"145","CL11","Aysén"
"146","CL111","Coyhaique"
"147","CL112","Aysén"
"148","CL113","Capitán Prat"
"149","CL114","General Carrera"
"150","CL12","Magallanes and Chilean Antarctica"
"151","CL121","Magallanes"
"152","CL122","Antártica Chilena"
"153","CL123","Tierra del Fuego"
"154","CL124","Última Esperanza"
"155","CL13","Santiago Metropolitan Region"
"156","CL131","Santiago"
"157","CL132","Cordillera"
"158","CL133","Chacabuco"
"159","CL134","Maipo"
"160","CL135","Melipilla"
"161","CL136","Talagante"
"162","CL14","Los Ríos"
"163","CL141","Valdivia"
"164","CL142","Ranco"
"165","CL15","Arica y Parinacota"
"166","CL151","Arica"
"167","CL152","Parinacota"
"168","CL16","Ñuble"
"169","CL161","Diguillín"
"170","CL162","Itata"
"171","CL163","Punilla"
"172","COL","Colombia"
"173","CO05","Antioquia"
"174","CO08","Atlántico"
"175","CO11","Bogotá Capital District"
"176","CO13","Bolívar"
"177","CO15","Boyacá"
"178","CO17","Caldas"
"179","CO18","Caquetá"
"180","CO19","Cauca"
"181","CO20","Cesar"
"182","CO23","Córdoba (CO)"
"183","CO25","Cundinamarca"
"184","CO27","Chocó"
"185","CO41","Huila"
"186","CO44","La Guajira"
"187","CO47","Magdalena"
"188","CO50","Meta"
"189","CO52","Nariño"
"190","CO54","Norte de Santander"
"191","CO63","Quindío"
"192","CO66","Risaralda"
"193","CO68","Santander"
"194","CO70","Sucre"
"195","CO73","Tolima"
"196","CO76","Valle del Cauca"
"197","CO81","Arauca"
"198","CO85","Casanare"
"199","CO86","Putumayo"
"200","CO88","San Andrés"
"201","CO91","Amazonas"
"202","CO94","Guainía"
"203","CO95","Guaviare"
"204","CO97","Vaupés"
"205","CO99","Vichada"
"206","CRI","Costa Rica"
"207","CR01","Central "
"208","CR02","Chorotega"
"209","CR03","Central Pacific"
"210","CR04","Brunca"
"211","CR05","Huetar Caribbean"
"212","CR06","North Huetar "
"213","CZE","Czech Republic"
"214","CZ01","Prague"
"215","CZ02","Central Bohemian Region"
"216","CZ03","Southwest"
"217","CZ04","Northwest"
"218","CZ05","Northeast"
"219","CZ06","Southeast"
"220","CZ07","Central Moravia"
"221","CZ08","Moravia-Silesia"
"222","DNK","Denmark"
"223","DK01","Copenhagen region"
"224","DK02","Zealand"
"225","DK03","Southern Denmark"
"226","DK04","Central Jutland"
"227","DK05","Northern Jutland"
"228","EST","Estonia"
"229","EE00","Estonia"
"230","EE001","North Estonia"
"231","EE004","West Estonia"
"232","EE009","Central Estonia"
"233","EE00A","Northeast Estonia"
"234","EE006","Central Estonia"
"235","EE007","Northeast Estonia"
"236","EE008","Southern Estonia"
"237","FIN","Finland"
"238","FI19","Western Finland"
"239","FI1B","Helsinki-Uusimaa"
"240","FI1C","Southern Finland"
"241","FI1D","Eastern and Northern Finland"
"242","FI20","Åland"
"243","FRA","France"
"244","FR1","Île-de-France"
"245","FR10","Île-de-France"
"246","FRB","Centre - Val de Loire"
"247","FRC","Bourgogne-Franche-Comté"
"248","FRD","Normandy"
"249","FRE","Hauts-de-France"
"250","FRF","Grand Est"
"251","FRG","Pays de la Loire"
"252","FRH","Brittany"
